"Season","Squad","Comp","Player","Nation","Pos","Age","Mins_Per_90","GA_Goals","PKA_Goals","FK_Goals","CK_Goals","OG_Goals","PSxG_Expected","PSxG_per_SoT_Expected","PSxGPlus_Minus_Expected","_per_90_Expected","Cmp_Launched","Att_Launched","Cmp_percent_Launched","Att_Passes","Thr_Passes","Launch_percent_Passes","AvgLen_Passes","Att_Goal_Kicks","Launch_percent_Goal_Kicks","AvgLen_Goal_Kicks","Opp_Crosses","Stp_Crosses","Stp_percent_Crosses","Player_NumOPA_Sweeper","Player_NumOPA_per_90_Sweeper","AvgDist_Sweeper","PlayerURL"
NA,"2022 Atlanta United","","Bobby Shuttleworth","USA","GK","34",6.2,11,0,0,3,0,9.1,0.44,-1.9,-0.31,10,24,41.7,149,17,11.4,23.6,38,18.4,25.7,84,2,2.4,2,0.32,11.7,"https://fbref.com/en/players/4598ac94/Bobby-Shuttleworth"
NA,"2022 Atlanta United","","Raúl Gudiño","MEX","GK","25",5.5,7,4,0,0,0,6.4,0.18,-0.6,-0.1,21,55,38.2,134,20,26.1,28.8,45,44.4,34.3,73,5,6.8,2,0.36,12.6,"https://fbref.com/en/players/2f061b36/Raul-Gudino"
NA,"2022 Chicago Fire","","Gaga Slonina","USA","GK","17",32,45,5,1,4,1,43.5,0.32,-0.5,-0.02,179,429,41.7,673,120,41.6,35.9,241,61.8,43.9,438,20,4.6,24,0.75,12.2,"https://fbref.com/en/players/c55a846e/Gaga-Slonina"
NA,"2022 Chicago Fire","","Christopher Brady","USA","GK","17",1,1,0,0,0,0,2,0.41,1,1.04,4,13,30.8,24,4,29.2,31.4,11,54.5,39.4,8,0,0,0,0,12,"https://fbref.com/en/players/a71768a2/Christopher-Brady"
NA,"2022 Chicago Fire","","Spencer Richey","USA","GK","29",1,2,0,0,0,0,2.1,0.53,0.1,0.12,9,26,34.6,17,2,82.4,47.9,15,80,57.1,23,1,4.3,1,1,16.5,"https://fbref.com/en/players/d9178ea2/Spencer-Richey"
NA,"2022 Toronto FC","","Alex Bono","USA","GK","27",24,42,2,1,4,1,41.1,0.33,0.1,0,95,336,28.3,644,160,36.3,33.1,225,45.3,39.6,366,26,7.1,49,2.04,18.3,"https://fbref.com/en/players/aa28a396/Alex-Bono"
NA,"2022 Toronto FC","","Quentin Westberg","USA","GK","35",10,24,1,0,5,1,19.2,0.31,-3.8,-0.38,49,138,35.5,300,47,35.3,33.1,81,39.5,35,148,4,2.7,26,2.6,21.9,"https://fbref.com/en/players/5480ae05/Quentin-Westberg"
NA,"2022 D.C. United","","Rafael Romo","VEN","GK","31",13.5,33,3,0,2,1,25.8,0.28,-6.2,-0.46,81,220,36.8,481,79,33.3,32.1,108,55.6,42.9,178,6,3.4,30,2.23,15.8,"https://fbref.com/en/players/8827c189/Rafael-Romo"
NA,"2022 D.C. United","","Bill Hamid","USA","GK","31",9.5,16,0,0,6,1,13.7,0.28,-1.3,-0.14,31,83,37.3,171,41,31.6,32.5,68,42.6,37.1,147,5,3.4,7,0.73,15,"https://fbref.com/en/players/012fc030/Bill-Hamid"
NA,"2022 D.C. United","","David Ochoa","USA","GK","21",9,17,0,0,3,1,14.7,0.29,-1.3,-0.15,78,173,45.1,330,43,36.1,32.4,68,79.4,51.9,119,5,4.2,13,1.44,16.2,"https://fbref.com/en/players/dba6b279/David-Ochoa"
