"Season","Squad","Comp","Player","Nation","Pos","Age","Mins_Per_90","GA_Goals","PKA_Goals","FK_Goals","CK_Goals","OG_Goals","PSxG_Expected","PSxG_per_SoT_Expected","PSxGPlus_Minus_Expected","_per_90_Expected","Cmp_Launched","Att_Launched","Cmp_percent_Launched","Att_Passes","Thr_Passes","Launch_percent_Passes","AvgLen_Passes","Att_Goal_Kicks","Launch_percent_Goal_Kicks","AvgLen_Goal_Kicks","Opp_Crosses","Stp_Crosses","Stp_percent_Crosses","Player_NumOPA_Sweeper","Player_NumOPA_per_90_Sweeper","AvgDist_Sweeper","PlayerURL"
"2022-2023","Juventus","Serie A","Wojciech Szczęsny","POL","GK","33-047",26.5,26,3,0,5,0,25.3,0.25,-0.7,-0.03,123,263,46.8,609,124,32.5,33.7,148,43.9,38.8,371,10,2.7,21,0.79,14.8,"https://fbref.com/en/players/01b8a2b2/Wojciech-Szczesny"
"2022-2023","Juventus","Serie A","Mattia Perin","ITA","GK","30-206",10.5,7,1,0,1,0,11.2,0.23,4.2,0.39,32,107,29.9,287,54,28.6,30.8,63,39.7,35.9,154,4,2.6,11,1.04,15.7,"https://fbref.com/en/players/4c62d0c8/Mattia-Perin"
"2022-2023","Fiorentina","Serie A","Pietro Terracciano","ITA","GK","33-088",29,38,6,0,3,2,33.1,0.28,-2.9,-0.1,155,375,41.3,871,113,32.7,33.2,198,45.5,40.5,271,12,4.4,55,1.9,18.4,"https://fbref.com/en/players/e1b0a70d/Pietro-Terracciano"
"2022-2023","Fiorentina","Serie A","Michele Cerofolini","ITA","GK","24-151",5,3,1,0,0,0,3.4,0.22,0.4,0.09,24,70,34.3,167,27,34.7,33.3,28,42.9,38.1,29,1,3.4,3,0.6,13.8,"https://fbref.com/en/players/efdeaff3/Michele-Cerofolini"
"2022-2023","Fiorentina","Serie A","Pierluigi Gollini","ITA","GK","28-078",3,2,0,0,1,0,1.7,0.21,-0.3,-0.1,13,38,34.2,115,17,27,32.4,11,63.6,49.3,24,1,4.2,0,0,9.3,"https://fbref.com/en/players/f0f7f62f/Pierluigi-Gollini"
"2022-2023","Fiorentina","Serie A","Salvatore Sirigu","ITA","GK","36-143",1,0,0,0,0,0,1,0.19,1,0.96,6,16,37.5,30,9,40,37.7,8,50,41.8,12,0,0,2,2,26.3,"https://fbref.com/en/players/10dc46f0/Salvatore-Sirigu"
"2022-2023","Torino","Serie A","Vanja Milinković-Savić","SRB","GK","26-104",38,41,5,0,6,0,35.8,0.23,-5.2,-0.14,285,939,30.4,1506,185,45,39.7,286,91.3,70,468,36,7.7,70,1.84,16.2,"https://fbref.com/en/players/9fa26bc2/Vanja-Milinkovic-Savic"
"2022-2023","Monza","Serie A","Michele Di Gregorio","ITA","GK","25-312",36,44,3,1,4,1,45.9,0.28,2.9,0.08,159,463,34.3,1199,225,31,32.6,243,37.4,35,530,14,2.6,29,0.81,13.2,"https://fbref.com/en/players/4e0c8d66/Michele-Di-Gregorio"
"2022-2023","Monza","Serie A","Alessio Cragno","ITA","GK","28-341",1,3,0,0,0,0,1.7,0.35,-1.3,-1.33,2,4,50,25,4,12,22.6,6,16.7,33.3,7,0,0,2,2,25.7,"https://fbref.com/en/players/f554e29b/Alessio-Cragno"
"2022-2023","Bologna","Serie A","Łukasz Skorupski","POL","GK","32-030",36,47,7,1,6,3,46.6,0.25,2.6,0.07,144,359,40.1,908,200,29.5,31.7,266,34.2,33.3,473,27,5.7,24,0.67,13,"https://fbref.com/en/players/ab4449d6/Lukasz-Skorupski"
"2022-2023","Bologna","Serie A","Francesco Bardi","ITA","GK","31-137",1,0,0,0,0,0,0.6,0.16,0.6,0.56,5,9,55.6,13,5,38.5,35.6,9,44.4,33.4,10,0,0,0,0,NA,"https://fbref.com/en/players/0acda699/Francesco-Bardi"
"2022-2023","Udinese","Serie A","Marco Silvestri","ITA","GK","32-094",37,47,6,2,3,2,46.9,0.31,1.9,0.05,135,368,36.7,845,134,31.7,32,289,34.6,34.5,523,12,2.3,21,0.57,12.4,"https://fbref.com/en/players/0d422df7/Marco-Silvestri"
"2022-2023","Sassuolo","Serie A","Andrea Consigli","ITA","GK","36-128",35,55,3,0,5,2,38.5,0.31,-14.5,-0.41,176,436,40.4,1140,187,30.4,33.3,285,31.2,32.5,467,28,6,28,0.8,14.2,"https://fbref.com/en/players/8cabdc1e/Andrea-Consigli"
"2022-2023","Sassuolo","Serie A","Gianluca Pegolo","ITA","GK","42-071",2,3,1,0,0,0,3.2,0.38,0.2,0.12,9,18,50,61,10,21.3,29.7,16,31.3,28.3,28,2,7.1,0,0,9,"https://fbref.com/en/players/f058ed1f/Gianluca-Pegolo"
"2022-2023","Sassuolo","Serie A","Alessandro Russo","ITA","GK","22-065",1,3,0,0,0,0,2.8,0.4,-0.2,-0.22,0,12,0,42,2,28.6,30.7,8,0,18.3,14,0,0,0,0,10,"https://fbref.com/en/players/3945ac70/Alessandro-Russo"
"2022-2023","Empoli","Serie A","Guglielmo Vicario","ITA","GK","26-240",30.9,39,4,0,8,1,40.9,0.27,2.9,0.09,138,455,30.3,1106,151,33.5,33.8,170,50,42.9,606,34,5.6,22,0.71,11.5,"https://fbref.com/en/players/77d6fd4d/Guglielmo-Vicario"
"2022-2023","Empoli","Serie A","Samuele Perisan","ITA","GK","25-287",7,9,0,0,2,0,7.5,0.31,-1.5,-0.22,25,75,33.3,153,39,32,32.7,75,34.7,34.3,134,5,3.7,4,0.57,11.6,"https://fbref.com/en/players/00a17eba/Samuele-Perisan"
"2022-2023","Empoli","Serie A","Samir Ujkani","KVX","GK","34-334",0.1,1,0,0,0,0,0.2,0.25,-0.8,-9.69,0,0,NA,2,1,0,22,1,0,27,1,0,0,0,0,NA,"https://fbref.com/en/players/96640846/Samir-Ujkani"
"2022-2023","Salernitana","Serie A","Guillermo Ochoa","MEX","GK","37-326",20,33,3,1,6,0,34.8,0.3,1.8,0.09,135,430,31.4,556,45,53.6,40.9,200,66,47.3,311,11,3.5,10,0.5,12.2,"https://fbref.com/en/players/1e9bde92/Guillermo-Ochoa"
"2022-2023","Salernitana","Serie A","Luigi Sepe","ITA","GK","32-027",17,27,4,0,0,0,30.3,0.27,3.3,0.2,76,274,27.7,490,84,40.6,35.9,154,48.7,41.1,222,16,7.2,13,0.76,14.2,"https://fbref.com/en/players/343f753a/Luigi-Sepe"
"2022-2023","Salernitana","Serie A","Vincenzo Fiorillo","ITA","GK","33-142",1,2,0,0,0,0,1.9,0.49,-0.1,-0.05,7,15,46.7,19,3,57.9,37.9,5,80,56.2,7,1,14.3,0,0,6,"https://fbref.com/en/players/a2565f79/Vincenzo-Fiorillo"
"2022-2023","Lecce","Serie A","Wladimiro Falcone","ITA","GK","28-053",37,43,5,2,6,3,41.3,0.24,1.3,0.04,184,705,26.1,854,139,56.8,42.1,279,78.9,53.4,524,23,4.4,42,1.14,14.1,"https://fbref.com/en/players/9f5a610b/Wladimiro-Falcone"
"2022-2023","Spezia","Serie A","Bartłomiej Drągowski","POL","GK","25-289",32.7,54,4,1,7,3,46.1,0.25,-4.9,-0.15,151,482,31.3,975,159,37.6,34.6,196,58.7,46.5,472,13,2.8,32,0.98,14.1,"https://fbref.com/en/players/085e71a7/Bartlomiej-Dragowski"
"2022-2023","Spezia","Serie A","Jeroen Zoet","NED","GK","32-149",2.7,2,0,0,1,0,1.5,0.19,-0.5,-0.18,19,55,34.5,87,8,54,37.1,12,66.7,46.3,40,2,5,6,2.2,17.2,"https://fbref.com/en/players/cc1a0c57/Jeroen-Zoet"
"2022-2023","Spezia","Serie A","Petar Zovko","BIH","GK","21-071",0.8,2,0,0,0,0,1.7,0.55,-0.3,-0.42,7,21,33.3,23,3,47.8,35.1,13,76.9,51.1,24,1,4.2,2,2.47,17,"https://fbref.com/en/players/54f6afe3/Petar-Zovko"
"2022-2023","Spezia","Serie A","Federico Marchetti","ITA","GK","40-117",0.7,2,0,0,0,0,1.5,0.48,-0.5,-0.74,2,4,50,10,2,10,24.3,8,37.5,32.4,8,0,0,1,1.36,22,"https://fbref.com/en/players/f794b426/Federico-Marchetti"
"2022-2023","Hellas Verona","Serie A","Lorenzo Montipò","ITA","GK","27-104",36,56,0,1,4,3,46.9,0.27,-6.1,-0.17,353,758,46.6,894,122,62.6,44.2,276,71.7,51.7,482,26,5.4,55,1.53,15.3,"https://fbref.com/en/players/c1d95617/Lorenzo-Montipo"
"2022-2023","Hellas Verona","Serie A","Simone Perilli","ITA","GK","28-148",1,0,0,0,0,0,0.8,0.19,0.8,0.75,6,30,20,21,0,81,57.3,13,100,69.8,19,1,5.3,1,1,12,"https://fbref.com/en/players/b9e11c1d/Simone-Perilli"
"2022-2023","Cremonese","Serie A","Marco Carnesecchi","ITA","GK","22-338",27,47,2,3,7,1,44.2,0.28,-1.8,-0.07,157,523,30,745,135,52.2,41.4,203,66,53.1,402,29,7.2,29,1.07,14.1,"https://fbref.com/en/players/8ec56e62/Marco-Carnesecchi"
"2022-2023","Cremonese","Serie A","Ionuț Radu","ROU","GK","26-007",9,19,3,0,3,0,21,0.29,2,0.22,38,143,26.6,265,34,41.1,37.3,67,50.7,46.3,107,6,5.6,9,1,14.5,"https://fbref.com/en/players/67f649be/Ionut-Radu"
"2022-2023","Cremonese","Serie A","Mouhamadou Sarr","SEN","GK","26-150",2,3,0,0,1,0,2.9,0.36,-0.1,-0.05,19,38,50,71,12,40.8,35.7,12,75,53.6,18,1,5.6,1,0.5,8.2,"https://fbref.com/en/players/b959a0d1/Mouhamadou-Sarr"
"2022-2023","Sampdoria","Serie A","Emil Audero","ITA","GK","26-137",25,39,5,0,4,2,32.3,0.21,-4.7,-0.19,159,441,36.1,714,104,45.8,39.1,200,57,44.2,356,24,6.7,23,0.92,13.9,"https://fbref.com/en/players/649b01d8/Emil-Audero"
"2022-2023","Sampdoria","Serie A","Nicola Ravaglia","ITA","GK","34-174",9,23,2,0,3,0,17.9,0.26,-5.1,-0.57,49,145,33.8,226,45,42.5,35.6,99,49.5,37.6,155,10,6.5,1,0.11,10.5,"https://fbref.com/en/players/d7a35008/Nicola-Ravaglia"
"2022-2023","Sampdoria","Serie A","Martin Turk","SVN","GK","19-287",3,7,0,0,3,0,6,0.32,-1,-0.34,26,62,41.9,77,11,41.6,34.6,33,90.9,57.7,46,0,0,1,0.33,13.3,"https://fbref.com/en/players/14ae023f/Martin-Turk"
"2022-2023","Manchester City","Premier League","Ederson","BRA","GK","28",35,32,3,1,4,1,26.2,0.3,-4.8,-0.14,117,263,44.5,1104,147,19.6,28,152,30.9,32.3,286,19,6.6,33,0.94,15.7,"https://fbref.com/en/players/3bb7b8b4/Ederson"
"2022-2023","Manchester City","Premier League","Stefan Ortega","GER","GK","29",3,1,0,0,0,0,4.1,0.27,3.1,1.02,11,24,45.8,155,16,14.8,23.9,12,8.3,20.3,26,1,3.8,7,2.33,21.1,"https://fbref.com/en/players/c1242d4e/Stefan-Ortega"
"2022-2023","Arsenal","Premier League","Aaron Ramsdale","ENG","GK","24",38,43,3,0,6,1,40,0.28,-2,-0.05,109,429,25.4,956,174,35.4,33.3,153,59.5,49.2,381,22,5.8,43,1.13,16.1,"https://fbref.com/en/players/466fb2c5/Aaron-Ramsdale"
"2022-2023","Manchester United","Premier League","David de Gea","ESP","GK","31",38,43,2,2,6,1,41.3,0.27,-0.7,-0.02,141,449,31.4,1032,128,32.6,32.3,179,63.1,47.1,526,15,2.9,32,0.84,14.8,"https://fbref.com/en/players/7ba6d84e/David-de-Gea"
"2022-2023","Newcastle United","Premier League","Nick Pope","ENG","GK","30",36.2,32,2,0,8,1,31.3,0.24,0.3,0.01,120,368,32.6,683,232,33.1,33,207,68.6,50.7,411,34,8.3,74,2.04,18.2,"https://fbref.com/en/players/4b40d9ca/Nick-Pope"
"2022-2023","Newcastle United","Premier League","Martin Dúbravka","SVK","GK","33",1.7,1,0,0,0,1,1.9,0.21,1.9,1.07,6,10,60,39,14,10.3,20.7,15,40,35.3,30,1,3.3,0,0,12.4,"https://fbref.com/en/players/3a949a25/Martin-Dubravka"
"2022-2023","Liverpool","Premier League","Alisson","BRA","GK","29",37,43,2,0,0,2,51.1,0.33,10.1,0.27,116,283,41,1256,210,18.4,26.9,193,26.9,31.3,397,23,5.8,89,2.41,19.8,"https://fbref.com/en/players/7a2e46a8/Alisson"
"2022-2023","Liverpool","Premier League","Caoimhín Kelleher","IRL","GK","23",1,4,0,0,0,0,2.9,0.34,-1.1,-1.06,2,2,100,22,7,9.1,24.3,2,0,20.5,3,0,0,0,0,9,"https://fbref.com/en/players/62d7ef38/Caoimhin-Kelleher"
"2022-2023","Brighton & Hove Albion","Premier League","Robert Sánchez","ESP","GK","24",23,30,5,0,4,3,24.2,0.25,-2.8,-0.12,60,205,29.3,645,103,24.2,28.9,131,37.4,35.1,229,17,7.4,13,0.57,12.3,"https://fbref.com/en/players/6a713852/Robert-Sanchez"
"2022-2023","Brighton & Hove Albion","Premier League","Jason Steele","ENG","GK","31",15,23,1,0,2,3,18.5,0.29,-1.5,-0.1,34,74,45.9,483,48,14.9,24.2,55,3.6,13.9,126,10,7.9,19,1.27,15.7,"https://fbref.com/en/players/28300a16/Jason-Steele"
"2022-2023","Aston Villa","Premier League","Emiliano Martínez","ARG","GK","29",34.9,38,4,1,6,4,36.6,0.24,2.6,0.07,199,523,38,1171,135,35.5,33,212,50.5,40.7,483,60,12.4,73,2.09,16.6,"https://fbref.com/en/players/7956236f/Emiliano-Martinez"
"2022-2023","Aston Villa","Premier League","Robin Olsen","SWE","GK","32",3.1,8,1,0,3,0,6.2,0.29,-1.8,-0.57,15,62,24.2,101,18,44.6,37.6,28,60.7,46.8,45,5,11.1,3,0.96,14.2,"https://fbref.com/en/players/e7ee38c3/Robin-Olsen"
"2022-2023","Tottenham Hotspur","Premier League","Hugo Lloris","FRA","GK","35",24.5,39,1,0,3,1,33.9,0.29,-4.1,-0.17,77,218,35.3,539,109,31.7,31.4,186,25.3,25.8,322,20,6.2,29,1.18,13.8,"https://fbref.com/en/players/8f62b6ee/Hugo-Lloris"
"2022-2023","Tottenham Hotspur","Premier League","Fraser Forster","ENG","GK","34",13.5,24,2,1,4,0,21.3,0.34,-2.7,-0.2,36,124,29,269,71,29,30.2,93,49.5,37.6,193,5,2.6,16,1.19,15.2,"https://fbref.com/en/players/c3e39f12/Fraser-Forster"
"2022-2023","Brentford","Premier League","David Raya","ESP","GK","26",38,46,2,0,9,3,48,0.24,5,0.13,347,882,39.3,1367,160,50.7,39.5,269,70.3,51.8,598,52,8.7,54,1.42,15.8,"https://fbref.com/en/players/98ea5115/David-Raya"
"2022-2023","Fulham","Premier League","Bernd Leno","GER","GK","30",36,51,7,1,8,2,58,0.27,9,0.25,124,391,31.7,1153,190,26,30,242,37.6,36,464,35,7.5,46,1.28,15,"https://fbref.com/en/players/2628fd2b/Bernd-Leno"
"2022-2023","Fulham","Premier League","Marek Rodák","SVK","GK","25",2,2,0,0,0,0,2,0.51,0,0.01,16,47,34,46,3,73.9,46,15,86.7,60,26,1,3.8,2,1,14,"https://fbref.com/en/players/17acc2ed/Marek-Rodak"
"2022-2023","Crystal Palace","Premier League","Vicente Guaita","ESP","GK","35",27,34,2,0,4,2,32.4,0.26,0.4,0.01,115,320,35.9,635,140,34.5,32.3,206,49,37.4,410,26,6.3,26,0.96,13.1,"https://fbref.com/en/players/ab13a5aa/Vicente-Guaita"
"2022-2023","Crystal Palace","Premier League","Sam Johnstone","ENG","GK","29",9,10,2,0,4,1,10,0.24,1,0.11,30,99,30.3,233,41,31.8,31.8,46,54.3,42.8,104,2,1.9,11,1.22,15.4,"https://fbref.com/en/players/9e5708be/Sam-Johnstone"
"2022-2023","Crystal Palace","Premier League","Joseph Whitworth","ENG","GK","18",2,5,0,0,0,0,2.3,0.23,-2.7,-1.33,8,27,29.6,68,8,29.4,30.1,15,46.7,36.7,25,1,4,3,1.5,15.4,"https://fbref.com/en/players/3f847d95/Joseph-Whitworth"
"2022-2023","Chelsea","Premier League","Kepa Arrizabalaga","ESP","GK","27",28.5,33,1,1,4,3,35,0.29,5,0.18,68,213,31.9,864,151,17.1,26.3,182,35.7,31.5,332,15,4.5,52,1.82,16.9,"https://fbref.com/en/players/28d596a0/Kepa-Arrizabalaga"
"2022-2023","Chelsea","Premier League","Edouard Mendy","SEN","GK","30",9.5,14,0,0,4,0,11.9,0.33,-2.1,-0.22,27,77,35.1,226,47,22.1,27.6,63,42.9,34.4,128,9,7,11,1.16,13.7,"https://fbref.com/en/players/33887998/Edouard-Mendy"
"2022-2023","Wolverhampton Wanderers","Premier League","José Sá","POR","GK","29",36,55,2,0,6,1,48.4,0.28,-5.6,-0.16,120,435,27.6,935,182,29.3,30.9,260,61.9,46.2,540,43,8,28,0.78,12.6,"https://fbref.com/en/players/903b6e8b/Jose-Sa"
"2022-2023","Wolverhampton Wanderers","Premier League","Daniel Bentley","ENG","GK","29",2,3,0,0,0,0,3.9,0.3,0.9,0.44,10,29,34.5,57,14,38.6,32.9,23,30.4,32.2,37,5,13.5,1,0.5,8.3,"https://fbref.com/en/players/68db6358/Daniel-Bentley"
"2022-2023","West Ham United","Premier League","Łukasz Fabiański","POL","GK","37",34.6,48,2,0,3,1,45.9,0.28,-1.1,-0.03,198,516,38.4,677,153,54.2,39.3,249,59.8,44.8,512,29,5.7,25,0.72,13,"https://fbref.com/en/players/9328b835/Lukasz-Fabianski"
"2022-2023","West Ham United","Premier League","Alphonse Areola","FRA","GK","29",3.4,7,2,0,1,0,7.3,0.33,0.3,0.09,14,37,37.8,61,14,39.3,33.4,30,43.3,33,47,2,4.3,1,0.29,10.3,"https://fbref.com/en/players/2f965a72/Alphonse-Areola"
"2022-2023","Bournemouth","Premier League","Neto","BRA","GK","33",26.5,39,4,0,8,1,39.7,0.26,1.7,0.06,160,437,36.6,601,136,47.4,37.8,231,65.8,44.6,510,35,6.9,25,0.94,12.1,"https://fbref.com/en/players/a9dc785c/Neto"
"2022-2023","Bournemouth","Premier League","Mark Travers","IRL","GK","23",11.5,32,2,0,8,2,24,0.34,-6,-0.52,71,154,46.1,250,54,35.6,31.9,118,55.1,43.8,229,5,2.2,5,0.43,10.5,"https://fbref.com/en/players/fe558029/Mark-Travers"
"2022-2023","Nottingham Forest","Premier League","Dean Henderson","ENG","GK","25",18,31,2,1,5,0,26.9,0.28,-4.1,-0.23,108,334,32.3,513,107,47.2,38.5,156,59,45.3,291,20,6.9,27,1.5,15.6,"https://fbref.com/en/players/e5a76dfe/Dean-Henderson"
"2022-2023","Nottingham Forest","Premier League","Keylor Navas","CRC","GK","35",17,32,4,1,3,0,29.3,0.32,-2.7,-0.16,106,320,33.1,378,65,56.3,41.3,151,70.9,48.1,295,14,4.7,9,0.53,9.2,"https://fbref.com/en/players/ecada4fc/Keylor-Navas"
"2022-2023","Nottingham Forest","Premier League","Wayne Hennessey","WAL","GK","35",3,5,0,0,1,0,3.9,0.28,-1.1,-0.36,23,58,39.7,72,13,54.2,43.2,25,76,54.5,35,1,2.9,2,0.66,17,"https://fbref.com/en/players/76eca7e2/Wayne-Hennessey"
"2022-2023","Everton","Premier League","Jordan Pickford","ENG","GK","28",37,57,5,2,4,0,60,0.31,3,0.08,270,801,33.7,992,151,58.1,43,315,71.4,52.7,566,22,3.9,52,1.41,16.2,"https://fbref.com/en/players/4806ec67/Jordan-Pickford"
"2022-2023","Everton","Premier League","Asmir Begović","BIH","GK","35",1,0,0,0,0,0,0.5,0.12,0.5,0.49,4,13,30.8,22,5,36.4,34.9,8,62.5,46.8,23,1,4.3,0,0,5,"https://fbref.com/en/players/7b4de647/Asmir-Begovic"
"2022-2023","Leicester City","Premier League","Danny Ward","WAL","GK","29",26,46,2,2,6,4,36.5,0.29,-5.5,-0.21,94,303,31,750,154,29.7,30.4,190,42.1,35.1,355,20,5.6,42,1.62,15.9,"https://fbref.com/en/players/d3ce0e89/Danny-Ward"
"2022-2023","Leicester City","Premier League","Daniel Iversen","DEN","GK","25",12,22,2,2,2,1,18.9,0.29,-2.1,-0.18,38,194,19.6,261,49,47.1,37.2,114,62.3,46.2,203,16,7.9,6,0.5,10.3,"https://fbref.com/en/players/10d221cd/Daniel-Iversen"
"2022-2023","Leeds United","Premier League","Illan Meslier","FRA","GK","22",34,67,3,1,7,1,53.6,0.32,-12.4,-0.36,106,449,23.6,794,194,39.4,33.7,242,56.2,43.5,432,34,7.9,66,1.94,15.8,"https://fbref.com/en/players/6b625ac2/Illan-Meslier"
"2022-2023","Leeds United","Premier League","Joel Robles","ESP","GK","32",4,11,2,0,0,0,10.5,0.32,-0.5,-0.12,18,71,25.4,90,20,52.2,41.1,32,75,49.4,43,2,4.7,3,0.75,11.6,"https://fbref.com/en/players/cda0b317/Joel-Robles"
"2022-2023","Southampton","Premier League","Gavin Bazunu","IRL","GK","20",32,56,1,1,7,4,35.4,0.28,-16.6,-0.52,212,629,33.7,935,144,50.2,38.1,237,67.5,50,456,36,7.9,48,1.5,15.1,"https://fbref.com/en/players/c91441dc/Gavin-Bazunu"
"2022-2023","Southampton","Premier League","Alex McCarthy","ENG","GK","32",6,17,1,0,1,1,10.9,0.34,-5.1,-0.84,22,113,19.5,194,29,48.5,36.5,52,36.5,31,92,6,6.5,7,1.17,13.5,"https://fbref.com/en/players/36c2ca73/Alex-McCarthy"
"2022-2023","Barcelona","La Liga","Marc-André ter Stegen","GER","GK","31-035",36.5,17,3,0,2,3,22.4,0.22,8.4,0.23,166,328,50.6,1185,176,22,28.9,194,34.5,35.4,360,17,4.7,40,1.1,16.4,"https://fbref.com/en/players/6f51e382/Marc-Andre-ter-Stegen"
"2022-2023","Barcelona","La Liga","Iñaki Peña","ESP","GK","24-094",0.5,1,0,0,0,0,0.7,0.37,-0.3,-0.51,0,1,0,16,3,6.3,22.2,4,0,22.8,5,0,0,2,4,16.5,"https://fbref.com/en/players/cc1c5035/Inaki-Pena"
"2022-2023","Real Madrid","La Liga","Thibaut Courtois","BEL","GK","31-024",30,28,4,0,1,0,26.3,0.21,-1.7,-0.06,82,211,38.9,951,186,18.7,27.9,148,22.3,29.9,351,31,8.8,37,1.23,15.2,"https://fbref.com/en/players/1840e36d/Thibaut-Courtois"
"2022-2023","Real Madrid","La Liga","Andriy Lunin","UKR","GK","24-113",7,7,0,0,1,1,4.5,0.25,-1.5,-0.21,14,27,51.9,190,36,7.9,23.3,37,32.4,35.6,54,1,1.9,11,1.57,21.7,"https://fbref.com/en/players/3061e1ec/Andriy-Lunin"
"2022-2023","Atlético Madrid","La Liga","Jan Oblak","SVN","GK","30-148",27.7,20,1,1,1,0,21.9,0.27,1.9,0.07,120,374,32.1,586,115,40.4,36.1,228,60.1,46,358,25,7,19,0.69,14.2,"https://fbref.com/en/players/ee8508c0/Jan-Oblak"
"2022-2023","Atlético Madrid","La Liga","Ivo Grbić","CRO","GK","27-137",9.3,11,3,0,4,0,10.9,0.2,-0.1,-0.01,42,137,30.7,219,48,37,33.9,88,63.6,47.9,204,22,10.8,7,0.75,9.6,"https://fbref.com/en/players/3f034750/Ivo-Grbic"
"2022-2023","Real Sociedad","La Liga","Álex Remiro","ESP","GK","28-072",37,34,1,1,3,2,32.3,0.24,0.3,0.01,237,555,42.7,1049,134,40,36.1,212,63.7,51.2,442,18,4.1,45,1.22,15.8,"https://fbref.com/en/players/374ee424/Alex-Remiro"
"2022-2023","Villarreal","La Liga","Pepe Reina","ESP","GK","40-277",22,27,4,0,3,1,28.9,0.29,2.9,0.13,64,207,30.9,736,112,22.1,28.8,118,37.3,35.7,315,15,4.8,20,0.91,14.6,"https://fbref.com/en/players/e358587b/Pepe-Reina"
"2022-2023","Villarreal","La Liga","Gerónimo Rulli","ARG","GK","31-015",14,10,0,0,1,0,12.5,0.23,2.5,0.18,50,119,42,451,70,19.3,28.8,92,34.8,37.9,215,20,9.3,21,1.5,15.5,"https://fbref.com/en/players/625c144a/Geronimo-Rulli"
"2022-2023","Villarreal","La Liga","Filip Jörgensen","DEN","GK","21-049",1,1,0,0,0,0,0.7,0.25,-0.3,-0.26,0,4,0,28,5,14.3,23.3,7,0,13.3,13,1,7.7,0,0,8.7,"https://fbref.com/en/players/0107757e/Filip-Jorgensen"
"2022-2023","Real Betis","La Liga","Rui Silva","POR","GK","29-117",26,32,2,1,6,1,32.9,0.3,1.9,0.07,154,410,37.6,668,107,40.7,35.6,214,64.5,47.5,369,18,4.9,37,1.42,16.6,"https://fbref.com/en/players/ea83bfa6/Rui-Silva"
"2022-2023","Real Betis","La Liga","Claudio Bravo","CHI","GK","40-052",11,8,1,0,1,0,9.9,0.23,1.9,0.17,69,208,33.2,255,37,52.9,40,94,77.7,53.4,201,4,2,6,0.55,12.3,"https://fbref.com/en/players/10072610/Claudio-Bravo"
"2022-2023","Osasuna","La Liga","Aitor Fernández","ESP","GK","32-032",20,18,0,0,0,1,16.5,0.25,-0.5,-0.02,180,419,43,593,84,50.4,40.9,169,71,53.7,299,14,4.7,37,1.85,16.4,"https://fbref.com/en/players/a01c3d54/Aitor-Fernandez"
"2022-2023","Osasuna","La Liga","Sergio Herrera","ESP","GK","29-364",17,23,1,1,3,1,21.4,0.28,-0.6,-0.04,151,351,43,475,58,56,42.7,135,63,48.3,215,16,7.4,20,1.18,18.5,"https://fbref.com/en/players/a4995f48/Sergio-Herrera"
"2022-2023","Athletic Club","La Liga","Unai Simón","ESP","GK","25-358",29.5,36,2,1,1,3,30.5,0.29,-2.5,-0.09,129,339,38.1,746,150,30.3,33.2,181,62.4,48.7,348,16,4.6,40,1.36,17.9,"https://fbref.com/en/players/5dcf3e90/Unai-Simon"
"2022-2023","Athletic Club","La Liga","Julen Agirrezabala","ESP","GK","22-160",7.5,6,0,0,0,0,5.5,0.3,-0.5,-0.06,37,101,36.6,179,33,29.6,30.5,62,77.4,55.4,96,11,11.5,10,1.33,15.4,"https://fbref.com/en/players/a2c1a8d3/Julen-Agirrezabala"
"2022-2023","Girona","La Liga","Paulo Gazzaniga","ARG","GK","31-153",27,35,4,0,4,0,43.8,0.33,8.8,0.33,144,394,36.5,792,132,31.8,32.8,233,60.9,48.4,463,35,7.6,32,1.19,14.5,"https://fbref.com/en/players/63d17038/Paulo-Gazzaniga"
"2022-2023","Girona","La Liga","Juan Carlos","ESP","GK","35-135",10,18,2,2,1,0,16.7,0.35,-1.3,-0.13,23,64,35.9,278,51,17.6,28.7,62,24.2,30.3,120,6,5,21,2.1,16.9,"https://fbref.com/en/players/688b96e3/Juan-Carlos"
"2022-2023","Rayo Vallecano","La Liga","Stole Dimitrievski","MKD","GK","29-161",36,47,4,0,8,4,42.8,0.29,-0.2,-0.01,148,524,28.2,802,196,45.3,38.8,290,55.5,46,493,24,4.9,51,1.42,16,"https://fbref.com/en/players/fc70e345/Stole-Dimitrievski"
"2022-2023","Rayo Vallecano","La Liga","Diego López","ESP","GK","41-213",1,3,0,0,2,0,1,0.26,-2,-1.95,2,8,25,21,5,28.6,30.3,8,25,35.3,12,0,0,2,2,17,"https://fbref.com/en/players/73683fa9/Diego-Lopez"
"2022-2023","Sevilla","La Liga","Yassine Bounou","MAR","GK","32-060",23.9,41,2,1,3,2,37.3,0.34,-1.7,-0.07,115,303,38,785,92,27.9,30.9,162,51.9,42.1,308,20,6.5,39,1.63,17.4,"https://fbref.com/en/players/f6798fc3/Yassine-Bounou"
"2022-2023","Sevilla","La Liga","Marko Dmitrović","SRB","GK","31-131",13.1,11,0,0,2,1,10.4,0.22,0.4,0.03,97,297,32.7,339,43,57.5,43.7,123,82.9,62.2,204,11,5.4,9,0.69,12,"https://fbref.com/en/players/ac295d9e/Marko-Dmitrovic"
