UrlFBref,Pos,Gls,Ast,G+A,G-PK,PK,PKatt,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,npG-npxG,Touches,Att_3rd_Touches,Att_Pen_Touches,Live_Touches,Att_Take_Ons,Succ_Take_Ons,Succ%_Take_Ons,Tkld_Take_Ons,Tkld%_Take_Ons,Carries,TotDist_Carries,PrgDist_Carries,PrgC_Carries,Final_3rd_Carries,CPA_Carries,Miscontrols,Dispossessed,Pass_Received,Pass_PrgR,Cmp_Pass,Att_Pass,Cmp%_Pass,TotDist_Pass,PrgDist_Pass,Cmp_Short_Pass,Att_Short_Pass,Cmp%_Short_Pass,Cmp_Medium_Pass,Att_Medium_Pass,Cmp%_Medium_Pass,Cmp_Long_Pass,Att_Long_Pass,Cmp%_Long_Pass,xA,A-xAG,Key_Pass,Final_Third_Pass,PPA,CrsPA,Live_Pass,Dead_Pass,FK_Pass,Through_Balls,Switches,Crosses,Throw_Ins,Corner_Kicks,In_Corner_Kicks,Out_Corner_Kicks,Str_Corner_Kicks,Offside_Pass,Blocked_Pass,Mid_3rd_Tackles,Att_3rd_Tackles,Interceptions,SCA,SCA/90,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA,GCA/90,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Fls,Fld,PKwon,Own_Goals,Won_Aerial_Duels,Lost_Aerial_Duels,Won%_Aerial_Duels
https://fbref.com/en/players/ce50fd99/Jonathan-David,FW,24.0,4.0,28.0,14.0,10.0,11.0,23.6,15.2,6.2,21.3,67.0,94.0,299.0,0.68,0.11,0.8,0.4,0.51,0.67,0.18,0.85,0.43,0.61,95.0,44.0,46.32,2.7,1.25,0.25,0.55,15.8,0.0,0.16,0.4,-1.2,1222.0,620.0,213.0,1211.0,78.0,29.0,37.18,38.0,48.72,968.0,5120.0,1902.0,67.0,43.0,39.0,87.0,52.0,947.0,299.0,715.0,874.0,81.81,9844.0,2240.0,423.0,493.0,85.8,215.0,255.0,84.31,28.0,30.0,93.33,5.4,-2.2,53.0,54.0,33.0,2.0,816.0,52.0,1.0,6.0,1.0,7.0,5.0,0.0,0.0,0.0,0.0,6.0,32.0,11.0,7.0,8.0,116.0,3.3,84.0,0.0,6.0,13.0,11.0,2.0,13.0,0.37,9.0,0.0,0.0,2.0,2.0,0.0,41.0,59.0,0.0,0.0,16.0,65.0,19.75
https://fbref.com/en/players/2d22cea7/Armand-Lauriente,FW,8.0,6.0,14.0,7.0,1.0,1.0,6.5,5.7,7.300000000000001,13.0,141.0,104.0,284.0,0.29,0.22,0.52,0.26,0.48,0.24,0.27,0.51,0.21,0.48,69.0,26.0,37.68,2.54,0.96,0.12,0.31,38.599999999999994,12.0,0.08,1.4999999999999998,1.3,1236.0,718.0,125.0,1235.0,157.0,78.0,49.68,60.0,38.22,865.0,6895.0,3631.0,141.0,73.0,55.0,60.0,57.0,903.0,284.0,645.0,900.0,71.67,9663.0,2952.0,366.0,433.0,84.53,203.0,273.0,74.36,41.0,103.0,39.81,5.1,-1.3,70.0,45.0,54.0,10.0,824.0,76.0,22.0,4.0,5.0,116.0,7.0,46.0,27.0,9.0,0.0,0.0,30.0,11.0,10.0,16.0,132.0,4.87,91.0,10.0,17.0,5.0,6.0,3.0,14.0,0.52,8.0,0.0,2.0,1.0,3.0,0.0,24.0,46.0,2.0,0.0,2.0,7.0,22.22
https://fbref.com/en/players/04bb2b06/Ibrahima-Kone,FW,7.0,1.0,8.0,5.0,2.0,3.0,5.6,3.2,1.0,4.3,15.0,27.0,108.0,0.4,0.06,0.46,0.29,0.34,0.32,0.06,0.38,0.18,0.25,28.0,13.0,46.43,1.6,0.74,0.25,0.54,16.1,0.0,0.11,1.4,1.8,567.0,247.0,68.0,564.0,22.0,14.0,63.64,6.0,27.27,377.0,1819.0,567.0,15.0,13.0,10.0,65.0,26.0,420.0,108.0,240.0,360.0,66.67,2810.0,767.0,149.0,205.0,72.68,60.0,100.0,60.0,3.0,7.0,42.86,1.0,0.0,15.0,17.0,3.0,0.0,351.0,9.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,12.0,8.0,4.0,37.0,2.11,30.0,0.0,2.0,3.0,0.0,2.0,2.0,0.11,2.0,0.0,0.0,0.0,0.0,0.0,29.0,24.0,0.0,0.0,55.0,60.0,47.83
https://fbref.com/en/players/45cce300/Jefferson,FW,3.0,3.0,6.0,3.0,0.0,0.0,5.199999999999999,5.199999999999999,1.8,7.1000000000000005,107.0,67.0,181.0,0.13,0.13,0.26,0.13,0.26,0.23,0.08,0.31,0.23,0.31,65.0,26.0,40.0,2.85,1.14,0.05,0.12,35.7,0.0,0.08,-2.2,-2.2,1103.0,569.0,95.0,1103.0,179.0,89.0,49.72,78.0,43.58,779.0,5744.0,3144.0,107.0,85.0,44.0,88.0,41.0,777.0,181.0,544.0,711.0,76.51,7065.0,1806.0,348.0,418.0,83.25,155.0,188.0,82.45,12.0,22.0,54.55,2.0,1.2,30.0,38.0,19.0,0.0,694.0,16.0,1.0,7.0,3.0,15.0,8.0,0.0,0.0,0.0,0.0,1.0,31.0,21.0,13.0,13.0,103.0,4.52,58.0,0.0,26.0,6.0,12.0,1.0,10.0,0.44,5.0,0.0,3.0,1.0,1.0,0.0,31.0,44.0,1.0,0.0,13.0,23.0,36.11
https://fbref.com/en/players/d5326924/Amin-Sarr,FW,6.0,5.0,11.0,6.0,0.0,2.0,8.2,6.6000000000000005,3.1999999999999997,9.799999999999999,73.0,40.0,185.0,0.25,0.21,0.46,0.25,0.46,0.34,0.13,0.47,0.27,0.41,58.0,23.0,39.66,2.4,0.95,0.1,0.26,31.099999999999998,2.0,0.11,-2.2,-0.6000000000000001,882.0,455.0,103.0,880.0,80.0,31.0,38.75,40.0,50.0,573.0,3869.0,1801.0,73.0,59.0,31.0,78.0,34.0,660.0,185.0,444.0,590.0,75.25,6244.0,1144.0,274.0,343.0,79.88,117.0,153.0,76.47,31.0,42.0,73.81,2.8,1.7999999999999998,24.0,29.0,19.0,6.0,560.0,27.0,0.0,0.0,0.0,23.0,5.0,0.0,0.0,0.0,0.0,3.0,14.0,12.0,8.0,6.0,73.0,3.03,47.0,0.0,11.0,8.0,6.0,1.0,12.0,0.5,6.0,0.0,2.0,4.0,0.0,0.0,33.0,24.0,1.0,0.0,26.0,46.0,36.11
https://fbref.com/en/players/a0d55a09/Bradley-Barcola,"FW,MF",5.0,8.0,13.0,5.0,0.0,0.0,3.5,3.5,3.9,7.4,52.0,39.0,155.0,0.31,0.5,0.81,0.31,0.81,0.22,0.24,0.46,0.22,0.46,27.0,13.0,48.15,1.69,0.81,0.19,0.38,13.6,0.0,0.13,1.5,1.5,667.0,356.0,108.0,667.0,80.0,40.0,50.0,38.0,47.5,480.0,3152.0,1400.0,52.0,29.0,30.0,36.0,8.0,443.0,155.0,325.0,467.0,69.59,4120.0,1112.0,214.0,281.0,76.16,82.0,119.0,68.91,8.0,17.0,47.06,4.2,4.1,25.0,23.0,20.0,4.0,461.0,3.0,0.0,0.0,1.0,21.0,3.0,0.0,0.0,0.0,0.0,3.0,17.0,10.0,7.0,19.0,39.0,2.44,32.0,0.0,4.0,2.0,0.0,1.0,10.0,0.62,10.0,0.0,0.0,0.0,0.0,0.0,24.0,7.0,0.0,0.0,16.0,32.0,33.33
https://fbref.com/en/players/b34c63a5/Rayan-Cherki,"MF,FW",4.0,6.0,10.0,4.0,0.0,0.0,4.9,4.9,7.2,12.2,130.0,144.0,258.0,0.19,0.29,0.48,0.19,0.48,0.24,0.35,0.58,0.24,0.59,61.0,21.0,34.43,2.93,1.01,0.07,0.19,18.6,3.0,0.08,-0.9,-0.9,1365.0,756.0,141.0,1365.0,157.0,79.0,50.32,65.0,41.4,1140.0,8240.0,4133.0,130.0,90.0,61.0,63.0,49.0,1107.0,258.0,844.0,1095.0,77.08,13773.0,3624.0,438.0,511.0,85.71,274.0,349.0,78.51,91.0,158.0,57.59,9.0,-1.2,66.0,71.0,60.0,4.0,990.0,101.0,19.0,13.0,8.0,91.0,19.0,55.0,18.0,27.0,0.0,4.0,22.0,5.0,7.0,5.0,128.0,6.15,81.0,22.0,19.0,5.0,1.0,0.0,16.0,0.77,12.0,1.0,1.0,2.0,0.0,0.0,16.0,32.0,0.0,0.0,2.0,9.0,18.18
https://fbref.com/en/players/9dbb75ca/Alexandre-Lacazette,FW,27.0,5.0,32.0,21.0,6.0,8.0,24.5,18.2,5.4,23.7,40.0,108.0,226.0,0.83,0.15,0.98,0.65,0.8,0.75,0.17,0.92,0.56,0.73,107.0,47.0,43.93,3.29,1.44,0.25,0.57,14.4,8.0,0.17,2.5,2.8,1273.0,705.0,210.0,1265.0,76.0,38.0,50.0,27.0,35.53,942.0,4305.0,1451.0,40.0,24.0,18.0,65.0,46.0,928.0,226.0,661.0,917.0,72.08,9232.0,2685.0,352.0,457.0,77.02,206.0,270.0,76.3,36.0,67.0,53.73,5.6,-0.4,48.0,59.0,48.0,1.0,845.0,61.0,8.0,8.0,4.0,35.0,1.0,6.0,1.0,4.0,0.0,11.0,30.0,17.0,19.0,15.0,113.0,3.47,78.0,2.0,10.0,8.0,13.0,2.0,11.0,0.34,8.0,0.0,0.0,0.0,3.0,0.0,64.0,56.0,3.0,0.0,28.0,46.0,37.84
https://fbref.com/en/players/85613cf0/Arkadiusz-Milik,FW,7.0,1.0,8.0,7.0,0.0,1.0,6.5,5.699999999999999,1.9,7.7,11.0,33.0,87.0,0.38,0.05,0.44,0.38,0.44,0.36,0.1,0.46,0.31,0.42,42.0,22.0,52.38,2.31,1.21,0.17,0.32,21.8,2.0,0.14,0.5,1.2999999999999998,647.0,259.0,70.0,646.0,22.0,11.0,50.0,9.0,40.91,363.0,1453.0,509.0,11.0,20.0,2.0,51.0,14.0,500.0,87.0,365.0,471.0,77.49,5095.0,820.0,217.0,264.0,82.2,114.0,137.0,83.21,14.0,22.0,63.64,0.7,-0.8999999999999999,15.0,19.0,7.0,0.0,439.0,28.0,4.0,2.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,4.0,9.0,8.0,3.0,1.0,33.0,1.81,18.0,1.0,1.0,6.0,3.0,4.0,3.0,0.16,2.0,0.0,0.0,0.0,0.0,1.0,30.0,30.0,1.0,0.0,37.0,61.0,37.76
https://fbref.com/en/players/eeba07f8/Luis-Javier-Suarez,FW,7.0,5.0,12.0,7.0,0.0,0.0,6.800000000000001,6.800000000000001,2.5,9.3,34.0,37.0,104.0,0.35,0.25,0.61,0.35,0.61,0.34,0.13,0.47,0.34,0.47,57.0,20.0,35.09,2.88,1.01,0.12,0.35,28.5,0.0,0.12,0.19999999999999996,0.19999999999999996,697.0,278.0,80.0,697.0,48.0,23.0,47.92,21.0,43.75,409.0,2272.0,990.0,34.0,25.0,15.0,49.0,26.0,496.0,104.0,319.0,464.0,68.75,4894.0,950.0,179.0,235.0,76.17,96.0,137.0,70.07,28.0,50.0,56.0,1.7,2.5,16.0,29.0,6.0,1.0,417.0,46.0,1.0,2.0,6.0,11.0,4.0,1.0,0.0,1.0,0.0,1.0,10.0,8.0,7.0,6.0,44.0,2.22,23.0,1.0,8.0,6.0,5.0,1.0,10.0,0.5,5.0,0.0,2.0,2.0,1.0,0.0,42.0,27.0,1.0,0.0,42.0,72.0,36.84
